"path","class","extension","size_mb","width","height","has_meta","texture_type","srgb","mipmaps","streaming_mips"
"Assets/_Project/Art/TEXTURES/Terrain Textures/mud/Ground051_1K-JPG_Color.jpg","terrain_geology","jpg","0.987","1024","1024","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/mud/Ground051_1K-JPG_NormalGL.jpg","terrain_geology","jpg","2.106","1024","1024","True","1","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/rocks/Rocks019_1K-JPG_AmbientOcclusion.jpg","terrain_geology","jpg","0.599","1024","1024","True","0","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/rocks/Rocks019_1K-JPG_Color.jpg","terrain_geology","jpg","1.278","1024","1024","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/rocks/Rocks019_1K-JPG_NormalGL.jpg","terrain_geology","jpg","2.216","1024","1024","True","1","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand +green/Ground074_1K-JPG_AmbientOcclusion.jpg","terrain_geology","jpg","0.819","1024","1024","True","0","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand +green/Ground074_1K-JPG_Color.jpg","terrain_geology","jpg","1.729","1024","1024","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand +green/Ground074_1K-JPG_NormalGL.jpg","terrain_geology","jpg","2.051","1024","1024","True","1","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand/Ground079S_1K-PNG_Color.png","terrain_geology","png","2.114","1024","1024","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand/NORMAL.png","terrain_geology","png","3.149","2048","1829","True","1","0","1","1"
"Assets/_Project/Art/TEXTURES/terrain.png","terrain_geology","png","1.858","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/TX_H8AegirGasGiantBakedDisc_1428.png","sky_aegir_cloud","png","1.772","2048","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/Weather/TX_FogLUT_BiolumeBloom.png","flora_coral_fauna","png","0","32","1","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/Weather/TX_FogLUT_CyclonicSurge.png","unknown","png","0","32","1","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/Weather/TX_FogLUT_DeepStillness.png","unknown","png","0","32","1","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching.v2/albedo___family.coral.branching.v2.png","flora_coral_fauna","png","2.488","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching.v2/detail___family.coral.branching.v2.png","flora_coral_fauna","png","2.541","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching.v2/mask___family.coral.branching.v2.png","flora_coral_fauna","png","2.441","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching.v2/normal___family.coral.branching.v2.png","flora_coral_fauna","png","2.407","1024","1024","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/albedo___family.coral.branching.png","flora_coral_fauna","png","6.822","2048","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/detail___family.coral.branching.png","flora_coral_fauna","png","9.108","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/mask___family.coral.branching.png","flora_coral_fauna","png","6.415","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/normal___family.coral.branching.png","flora_coral_fauna","png","6.767","2048","2048","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/albedo___family.coral.brittle.png","flora_coral_fauna","png","2.448","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/detail___family.coral.brittle.png","flora_coral_fauna","png","2.6","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/mask___family.coral.brittle.png","flora_coral_fauna","png","2.365","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/normal___family.coral.brittle.png","flora_coral_fauna","png","2.33","1024","1024","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/albedo___family.coral.low.png","flora_coral_fauna","png","8.61","2048","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/detail___family.coral.low.png","flora_coral_fauna","png","10.208","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/mask___family.coral.low.png","flora_coral_fauna","png","7.939","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/normal___family.coral.low.png","flora_coral_fauna","png","6.087","2048","2048","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive.2/albedo___family.coral.massive.2.png","flora_coral_fauna","png","1.998","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive.2/detail___family.coral.massive.2.png","flora_coral_fauna","png","2.274","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive.2/mask___family.coral.massive.2.png","flora_coral_fauna","png","1.994","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive.2/normal___family.coral.massive.2.png","flora_coral_fauna","png","1.286","1024","1024","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/albedo___family.coral.massive.png","flora_coral_fauna","png","2.301","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/detail___family.coral.massive.png","flora_coral_fauna","png","2.414","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/mask___family.coral.massive.png","flora_coral_fauna","png","1.778","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/normal___family.coral.massive.png","flora_coral_fauna","png","1.185","1024","1024","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/albedo___family.coral.plate.png","flora_coral_fauna","png","2.306","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/detail___family.coral.plate.png","flora_coral_fauna","png","9.862","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/mask___family.coral.plate.png","flora_coral_fauna","png","6.235","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/normal___family.coral.plate.png","flora_coral_fauna","png","2.129","1024","1024","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/albedo___family.kelp.abyssal.png","flora_coral_fauna","png","6.385","2048","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/detail___family.kelp.abyssal.png","flora_coral_fauna","png","7.903","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/mask___family.kelp.abyssal.png","flora_coral_fauna","png","5.845","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/normal___family.kelp.abyssal.png","flora_coral_fauna","png","5.955","2048","2048","True","1","0","1","0"
