"path","class","extension","size_mb","duration_sec","has_meta","load_type","compression_format","quality","sample_rate_setting"
"Assets/_Project/Audio/Music for Game/stinger_discovery_4_The_Sunken_Observatory.ogg","music","ogg","0.359","30.772","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/stinger_discovery_5_The_Sunken_Relic.ogg","music","ogg","0.359","30.772","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/stinger_hallucination_1_Beneath_the_Tide.ogg","music","ogg","0.359","30.772","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/wam_base_lofi_11_Beneath_The_Iron_Hull.ogg","music","ogg","2.03","175.647","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/warm_base_lofi_1_Muffled Underwater Hum.ogg","music","ogg","1.781","154.04","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/warm_base_lofi_10_chill_Midnight_at_the_Pressure_Gate.ogg","music","ogg","2.025","175.203","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/warm_base_lofi_2_Muffled Underwater Hum (1).ogg","music","ogg","3.061","265","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/warm_base_lofi_3_Underwater Hum.ogg","music","ogg","1.228","106.08","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/warm_base_lofi_4_Underwater Hum (1).ogg","music","ogg","1.133","97.84","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/warm_base_lofi_5_Iron_Hull_Lullaby.ogg","music","ogg","1.553","134.269","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/warm_base_lofi_6_Vinyl Warmth Echo.ogg","music","ogg","1.493","129.16","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/warm_base_lofi_7_Vinyl Warmth Echo (1).ogg","music","ogg","2.206","190.92","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/warm_base_lofi_8_Vinyl Crackle.ogg","music","ogg","2.061","178.36","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/warm_base_lofi_9_Vinyl Crackle (1).ogg","music","ogg","2.022","174.96","True","2","1","0.7","0"
"Assets/_Project/Audio/SFX/bubble sound (1).wav","sfx","wav","0.128","1.5","True","0","2","0.45","2"
"Assets/_Project/Audio/SFX/bubble sound (2).wav","sfx","wav","0.128","1.5","True","1","2","0.45","2"
"Assets/_Project/Audio/SFX/bubble sound (3).wav","sfx","wav","0.17","2","True","1","1","0.45","2"
"Assets/_Project/Audio/SFX/bubble sound (4).wav","sfx","wav","0.17","2","True","1","1","0.45","2"
"Assets/_Project/Audio/SFX/water energe  - bulb.wav","sfx","wav","0.226","1.312","True","0","2","0.45","2"
"Assets/_Project/Audio/Thruster/servo_motor.wav","voice","wav","0.3","1.773","True","0","2","0.65","2"
"Assets/_Project/Audio/Thruster/thrust continous.wav","sfx","wav","0.037","0.801","True","0","2","0.64","2"
"Assets/_Project/Audio/UI/blow ui sound (notif or option).mp3","ui","mp3","0.01","1.44","True","1","2","1","2"
"Assets/_Project/Audio/UI/click sound.wav","ui","wav","0.029","0.172","True","0","2","1","2"
"Assets/_Project/Audio/UI/electro (nope) sound.flac","ui","flac","0.06","1.673","True","0","2","1","2"
"Assets/_Project/Audio/UI/open - tap - ui.wav","ui","wav","0.254","1.385","True","1","2","1","2"
"Assets/_Project/Audio/UI/ui - reverb sound.wav","ui","wav","0.491","1.341","True","1","2","1","2"
"Assets/_Project/Audio/Underwater Ambient.wav","ambient","wav","32.468","193","True","2","1","0.45","2"
"Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_EN.wav","voice","wav","0.491","1.341","True","1","2","0.22","2"
"Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_RU.wav","voice","wav","0.491","1.341","True","0","2","0.22","2"
