frame,entity,flags,aup_x,aup_y,aup_z,vel_x,vel_y,vel_z,sdf_m,speed_mps,hash
17,54,2,99000.681,-1489.607,99010.050,234.489,41.659,224.738,-0.588,327.456,4250477234
18,25,2,99005.273,-1506.139,98983.799,60.393,66.982,-298.287,-0.619,311.624,3262271449
18,44,2,99006.611,-1486.129,99005.305,291.432,52.047,275.214,-0.811,404.209,274998208
18,54,2,99000.684,-1489.604,99010.063,215.307,43.714,223.303,-0.573,313.261,2100364317
19,25,2,99005.279,-1506.136,98983.786,69.738,62.225,-286.649,-0.603,301.501,1447553576
19,44,2,99006.620,-1486.126,99005.313,293.895,51.035,263.569,-0.799,398.055,916475076
19,54,2,99000.688,-1489.600,99010.079,196.896,46.062,219.811,-0.556,298.675,291970751
20,25,2,99005.286,-1506.132,98983.771,80.370,57.596,-272.539,-0.585,289.921,2035676207
20,44,2,99006.631,-1486.123,99005.322,295.739,50.223,251.506,-0.784,391.458,2784650629
20,54,2,99000.693,-1489.595,99010.100,180.552,48.436,213.531,-0.533,283.796,3380251845
21,25,2,99005.294,-1506.128,98983.753,90.502,53.464,-257.200,-0.564,277.850,3233297634
21,44,2,99006.642,-1486.120,99005.331,297.083,49.630,239.370,-0.769,384.733,468186030
21,54,2,99000.698,-1489.590,99010.123,166.542,50.819,204.541,-0.508,268.619,233114328
22,25,2,99005.303,-1506.123,98983.734,100.002,49.720,-241.407,-0.542,265.988,1274058475
22,44,2,99006.654,-1486.117,99005.341,298.012,49.302,227.347,-0.753,378.059,2639296920
22,54,2,99000.704,-1489.584,99010.151,155.053,53.193,193.166,-0.477,253.346,1896808508
23,25,2,99005.312,-1506.118,98983.715,109.033,46.224,-225.502,-0.519,254.708,55714211
23,44,2,99006.665,-1486.114,99005.350,298.546,49.331,215.534,-0.738,371.508,3012354877
23,54,2,99000.711,-1489.577,99010.179,146.176,55.539,179.943,-0.446,238.394,1388163494
24,25,2,99005.321,-1506.113,98983.696,117.729,42.861,-209.668,-0.496,244.249,3589524075
24,44,2,99006.677,-1486.111,99005.360,298.316,49.803,204.461,-0.722,365.071,634158835
24,54,2,99000.718,-1489.570,99010.209,139.904,57.838,165.576,-0.414,224.352,1882774235
25,25,2,99005.330,-1506.108,98983.677,126.195,39.517,-194.011,-0.474,234.791,3598181958
25,44,2,99006.688,-1486.108,99005.369,296.276,50.465,196.038,-0.707,358.827,2896074923
25,54,2,99000.724,-1489.564,99010.236,135.933,59.920,151.508,-0.384,212.186,1758721064
26,25,2,99005.339,-1506.103,98983.659,134.515,36.046,-178.618,-0.452,226.491,1809907359
26,44,2,99006.697,-1486.105,99005.377,292.342,51.295,190.696,-0.694,352.788,2155881808
26,54,2,99000.730,-1489.558,99010.261,133.931,61.830,138.291,-0.357,202.200,2089631558
27,25,2,99005.347,-1506.099,98983.642,141.830,32.544,-164.706,-0.432,219.779,1437261588
27,44,2,99006.705,-1486.103,99005.384,286.529,52.266,188.626,-0.683,347.002,1371048995
27,54,2,99000.735,-1489.553,99010.282,133.767,63.634,126.242,-0.334,194.628,4257758897
28,25,2,99005.354,-1506.095,98983.627,147.154,29.247,-153.639,-0.414,214.743,3064975174
28,44,2,99006.712,-1486.101,99005.390,278.951,53.354,189.758,-0.673,341.568,936242555
28,54,2,99000.739,-1489.549,99010.300,135.341,65.356,115.817,-0.314,189.742,3269893943
29,25,2,99005.359,-1506.092,98983.616,150.333,26.164,-145.688,-0.401,210.973,2408069724
29,44,2,99006.718,-1486.099,99005.395,269.814,54.533,193.763,-0.665,336.627,1485970478
29,54,2,99000.742,-1489.546,99010.312,138.396,66.969,107.621,-0.301,187.672,2981679187
30,25,2,99005.363,-1506.090,98983.608,151.325,23.304,-140.871,-0.391,208.055,3298601288
30,44,2,99006.723,-1486.098,99005.399,260.005,55.576,199.470,-0.659,332.385,70994832
30,54,2,99000.744,-1489.544,99010.319,142.340,68.405,102.201,-0.293,188.109,3784761806
31,25,2,99005.365,-1506.089,98983.604,150.193,20.676,-138.945,-0.386,205.648,4105965825
31,44,2,99006.727,-1486.097,99005.403,250.610,56.302,205.321,-0.653,328.834,3382199950
31,54,2,99000.744,-1489.544,99010.321,146.304,69.583,99.683,-0.291,190.219,3248625172
32,25,2,99005.366,-1506.088,98983.601,147.103,18.288,-139.430,-0.383,203.505,3136539857
32,44,2,99006.731,-1486.096,99005.406,241.460,56.895,211.116,-0.648,325.745,1453624999
33,25,2,99005.367,-1506.087,98983.599,143.093,16.257,-140.627,-0.380,201.286,3864522897
33,44,2,99006.735,-1486.095,99005.410,232.405,57.471,216.696,-0.642,322.912,96269052
34,25,2,99005.368,-1506.086,98983.596,138.807,14.534,-141.540,-0.377,198.777,2852691436
34,44,2,99006.740,-1486.094,99005.414,223.291,58.133,221.882,-0.635,320.109,2050781847
35,25,2,99005.370,-1506.085,98983.592,134.174,13.033,-142.085,-0.372,195.858,3365077213
35,44,2,99006.745,-1486.092,99005.419,213.950,58.995,226.408,-0.628,317.042,280242427
36,25,2,99005.372,-1506.084,98983.587,129.088,11.721,-142.118,-0.366,192.351,3090756717
36,44,2,99006.752,-1486.090,99005.425,204.268,60.196,229.747,-0.618,313.262,142781166
37,25,2,99005.375,-1506.082,98983.581,123.418,10.599,-141.395,-0.359,187.981,1711126791
37,44,2,99006.760,-1486.088,99005.432,196.231,61.309,230.309,-0.607,308.719,2833502988
38,25,2,99005.379,-1506.080,98983.572,117.026,9.704,-139.477,-0.349,182.327,2733656985
38,44,2,99006.769,-1486.085,99005.439,190.125,62.322,227.999,-0.595,303.340,3283773357
39,25,2,99005.385,-1506.077,98983.560,110.693,9.075,-135.349,-0.334,175.084,1920475167
39,44,2,99006.778,-1486.082,99005.447,186.150,63.222,222.981,-0.582,297.270,333153538
40,25,2,99005.392,-1506.073,98983.544,105.695,8.687,-128.374,-0.315,166.514,502585884
40,44,2,99006.787,-1486.079,99005.455,184.403,63.998,215.659,-0.570,290.876,567750249
41,25,2,99005.401,-1506.068,98983.525,102.373,8.533,-118.645,-0.293,156.938,3852208809
41,44,2,99006.795,-1486.076,99005.462,184.871,64.634,206.640,-0.559,284.702,1308239628
42,25,2,99005.410,-1506.063,98983.505,100.985,8.603,-106.495,-0.269,147.015,1022544983
42,44,2,99006.802,-1486.074,99005.468,187.369,65.087,196.875,-0.549,279.469,3958694596
43,25,2,99005.420,-1506.058,98983.483,101.692,8.884,-92.479,-0.243,137.741,2237989823
43,44,2,99006.807,-1486.072,99005.472,191.203,65.257,187.957,-0.542,275.944,3343466204
44,25,2,99005.430,-1506.053,98983.462,104.547,9.361,-77.321,-0.219,130.369,998022901
44,44,2,99006.810,-1486.071,99005.474,196.146,65.230,180.039,-0.538,274.120,586114911
45,25,2,99005.440,-1506.048,98983.442,109.403,9.954,-62.233,-0.195,126.258,3792569578
45,44,2,99006.810,-1486.071,99005.474,202.102,65.040,173.364,-0.538,274.100,1511332438
46,25,2,99005.448,-1506.044,98983.426,115.963,10.645,-48.006,-0.175,125.958,2181309092
47,25,2,99005.454,-1506.041,98983.413,124.083,11.480,-35.064,-0.160,129.452,1289618712
48,25,2,99005.459,-1506.039,98983.404,133.617,12.489,-23.993,-0.149,136.327,3207306969
49,25,2,99005.461,-1506.038,98983.400,144.204,13.651,-15.500,-0.144,145.676,1547899523
891,41,2,99014.892,-1524.891,98983.318,-13.973,-48.099,-165.660,-0.114,173.067,1436820749
892,41,2,99014.774,-1524.823,98983.187,-12.338,-45.862,-174.070,-0.132,180.432,1758179134
893,41,2,99014.656,-1524.758,98983.048,-12.084,-43.346,-181.373,-0.140,186.871,1864915091
894,41,2,99014.545,-1524.698,98982.909,-13.818,-40.800,-186.098,-0.138,191.018,4137601085
895,41,2,99014.446,-1524.645,98982.780,-17.565,-38.259,-187.826,-0.128,192.486,227422562
896,41,2,99014.364,-1524.601,98982.667,-23.243,-35.752,-186.392,-0.113,191.207,2399307570
1,0,2,99006.164,-1496.523,99009.085,0.000,0.000,0.000,-0.648,0.000,3417067351
