Name,RA,Dec,Dist,AppMagn,SpecClass,MassSol,RadSol,Temperature
HIP 19346/HD 25973,4.14480565,43.6841477,358.422933,7.61718765,K0V,,,
HIP 20701/HD 27899,4.43466104,42.2194715,344.82758,7.63671908,A2V,,,
HIP 20824/HD 28065,4.46201645,43.1908096,346.020752,7.44921825,G5V,,,
HIP 21774/HD 29487,4.67670923,44.0970896,371.747231,7.46875035,B8V,,,
HIP 23825/HD 32752,5.1217853,42.0955972,411.522572,8.32812504,A0V,,,
HIP 23947/HD 277469,5.14667318,42.578545,418.410029,8.76953216,M6III,,,
HIP 25542/HD 35544,5.46088876,43.3679362,393.700788,6.75781282,A0V,,,
HIP 26230/HD 36641,5.58880366,43.2393706,396.825404,7.30859466,G5V,,,
HIP 26278/HD 36662,5.59565252,45.4932435,408.16327,8.53906334,B8V,,,
HIP 27248/HD 38245,5.77501556,44.09598,404.858264,8.50781292,A0V,,,
6 Aur/HIP 23268/HD 31780,5.00644801,39.6546589,381.679404,6.45703173,K4Ia,,,
HIP 24209/HD 33396,5.19836593,39.9452837,386.100391,8.957031,B9V,,,
HIP 24238/HD 33461,5.20402627,41.2152293,371.747187,7.7890636,B2V,,,
HIP 24422/HD 33772,5.24003194,39.3637514,386.100406,8.01953134,G5V,,,
HIP 26613/HD 37283,5.65720706,42.6808196,370.37035,7.25781296,M5V,,,
HIP 26803/HD 37614,5.69197092,38.1883286,373.134333,8.17968778,B2III,,,
HIP 27525/HD 38731,5.82820544,38.6973626,362.318828,7.91796928,A5V,,,
HIP 27853/HD 39302,5.89285134,40.4201283,393.700791,8.12890662,A2V,,,
HIP 28088,5.93740649,41.7171723,375.939804,9.50781247,G0V,,,
HIP 28113,5.94246129,39.1909047,387.596896,8.9296886,F8V,,,
HIP 22917/HD 31195,4.93185273,45.0347558,386.10041,7.88671871,B7V,,,
HIP 23682/HD 32446,5.09037921,45.0581803,373.134314,8.26953163,B5III,,,
HIP 23828/HD 32653,5.12285089,50.3056144,375.939852,7.398438,B9V,,,
HIP 24308/HD 33479,5.21621006,48.3052936,380.228118,8.39843759,K0V,,,
HIP 25024,5.3578804,48.5588871,383.141787,9.26953111,K0V,,,
HIP 25575/HD 35542,5.46622685,48.3812571,390.624998,7.1992185,K0V,,,
HIP 25855/HD 35962,5.519138,51.28276,384.615386,7.52734418,G5V,,,
HIP 27684,5.86092204,48.7349541,353.356907,8.54687571,K0V,,,
HIP 22658,4.87382771,43.5754168,358.422934,11.5976566,G0V,,,
HIP 22948/HD 31205,4.93742678,47.4408241,357.142858,8.76953219,A0V,,,
HIP 23240/HD 31691,5.0005012,43.9856179,350.877203,8.01953089,G8III,,,
HIP 23477/HD 32050,5.04628859,46.6602882,343.642618,7.73828161,B9V,,,
HIP 25184/HD 34903,5.38683768,47.0216471,343.642616,6.80859429,K5V,,,
HIP 25560/HD 35573,5.46313911,44.1659153,359.71222,7.61718782,K2V,,,
HIP 25750/HD 35897,5.4985095,42.2159553,343.642581,8.91796919,A0V,,,
HIP 26142,5.57381961,43.4159734,330.033028,8.94921888,G0V,,,
HIP 26490/HD 37050,5.63437469,46.2089609,364.963478,8.43749985,A0V,,,
HIP 27224/HD 38188,5.76986695,44.7832712,357.142853,7.95703187,B5V,,,
HIP 27278/HD 38258,5.78096465,47.4673751,343.642596,7.46875057,B8V,,,
HIP 19178/HD 25799,4.11084453,32.3850714,359.712222,7.04687494,B3V,,,
HIP 19444/HD 281640,4.1640331,33.0564494,373.134305,10.1171879,A2V,,,
HIP 20468/HD 27658,4.38641431,36.0353064,366.300345,8.32812535,B9V,,,
HIP 20710/HD 27982,4.43814035,31.9591785,359.712222,8.62890654,A0V,,,
HIP 20539/HD 281999,4.40119408,31.8550747,349.650358,9.05859438,A0V,,,
HIP 21159/HD 283677,4.53637168,29.0155902,343.642631,9.17968804,B5V,,,
HIP 21602/HD 29309,4.63756464,31.9988053,338.98308,7.10937545,B2V,,,
HIP 22677,4.87715612,30.3884734,326.797375,10.398437,A2V,,,
HIP 18077/HD 279111,3.86420918,34.4810865,341.296926,9.21875069,A0V,,,
HIP 18657/HD 24982,3.99443947,38.8203879,336.700315,6.50781263,A1V,,,
HIP 19291/HD 25950,4.13515875,36.966635,340.136063,9.02734364,A0V,,,
HIP 19573/HD 279633,4.194069,34.3986073,338.983035,9.57812514,A0V,,,
HIP 19815/HD 26708,4.24951835,36.5020605,331.125835,7.51953199,A2V,,,
HIP 20340/HD 27458,4.35743851,34.5711055,332.225928,7.41796869,K5V,,,
HIP 20196/HD 27225,4.32866154,39.9155528,326.797408,8.5273436,F0V,,,
HIP 20421/HD 27548,4.37402814,36.905656,325.732911,8.06640599,B9V,,,
HIP 21628/HD 29308,4.64408739,38.4486345,317.460286,7.60937603,B8V,,,
HIP 17845/HD 23802,3.81869251,32.264292,323.624595,7.57812523,B9V,,,
HIP 18108/HD 279128,3.87118913,33.4062087,326.79739,8.94921843,B8V,,,
HIP 18862/HD 281465,4.04388005,32.8592167,313.479626,9.81640599,A0V,,,
HIP 20178/HD 27259,4.32515401,30.883256,328.94734,7.63671792,K5V,,,
HIP 21978/HD 29834,4.72478612,33.2445317,333.333313,8.73828139,F2V,,,
HIP 22612/HD 282495,4.86513963,33.6412007,322.580662,8.6562506,K0V,,,
HIP 23584/HD 280410,5.07096514,34.4609071,340.13606,9.88671869,F5V,,,
HIP 23894,5.13441026,36.9601946,352.112714,10.0468754,G8II,,,
HIP 23998/HD 33119,5.15919522,34.8672557,347.222189,9.54687478,A5V,,,
HIP 24744/HD 34333,5.30585216,36.6320463,370.370389,7.77734404,B3V,,,
HIP 24795/HD 34425,5.31581145,36.1972592,373.134293,8.257813,B5V,,,
HIP 24796/HD 34426,5.31589076,35.8641136,373.134342,8.98828186,B8V,,,
HIP 25563/HD 35670,5.46435624,33.4780672,346.020729,8.72656298,B8V,,,
HIP 26360,5.61369331,37.8148227,338.983061,9.00000049,G0V,,,
HIP 26364/HD 36949,5.61479342,38.3423242,349.650337,7.6484377,K0V,,,
HIP 27327/HD 38401,5.78884259,38.9921639,343.642613,8.84765684,A0V,,,
HIP 28106/HD 39784,5.94027472,36.8867972,374.531832,7.91796908,A2V,,,
HIP 28151/HD 39864,5.94856566,35.5789943,369.003665,7.5273445,M5V,,,
HIP 28194/HD 39938,5.95817027,35.7770891,340.136041,7.85937506,G5V,,,
HIP 28228/HD 39982,5.96397957,37.5182067,367.647036,7.48828122,K2V,,,
HIP 28300/HD 40161,5.98126086,37.5892199,364.96351,8.85937508,A0V,,,
HIP 23608/HD 32447,5.07624386,30.3803692,358.422928,8.18750056,K5V,,,
HIP 23914/HD 32976,5.13858076,31.1676112,327.868845,8.75781329,A3V,,,
HIP 24193/HD 33463,5.19397501,29.9036375,350.877198,6.41796852,M2III,,,
HIP 24287/HD 33581,5.21232044,34.0895689,325.732902,8.55859342,G5V,,,
HIP 24896/HD 242630,5.3362574,27.6462107,326.797395,10.2968748,F0V,,,
HIP 25418/HD 243504,5.43663752,30.2445899,352.112694,9.64843769,F2V,,,
HIP 26875/HD 246417,5.70574105,29.7263354,337.837827,9.14843724,B5V,,,
HIP 27296/HD 38402,5.78348362,34.3118279,325.732896,7.06640616,B8V,,,
HIP 27798/HD 39303,5.88247402,29.1119682,328.947356,7.87890564,G5V,,,
HIP 27806/HD 248573,5.88411872,33.1576888,330.033,9.50000085,K5V,,,
HIP 28028/HD 249118,5.92747767,29.9569303,325.732911,9.14843742,B8V,,,
HIP 28048,5.93152569,34.3572363,330.032972,9.53906313,F5V,,,
HIP 28206,5.95977127,32.0160142,350.877222,10.4492188,F4V,,,
HIP 23282/HD 31817,5.0092498,36.6274032,334.448146,7.28906324,A0V,,,
HIP 23760/HD 32639,5.10671887,37.2037612,315.457402,8.89843766,G5V,,,
HIP 24118/HD 33232,5.18005599,41.0029042,323.624605,8.22656284,B2V,,,
HIP 24201/HD 33357,5.19525773,42.1653596,316.455683,8.55859406,B1V,,,
HIP 24605/HD 34093,5.27778551,39.0457935,310.558991,9.00000025,A2V,,,
HIP 26051/HD 36423,5.5574558,38.7839449,322.580655,8.60937544,A0V,,,
HIP 26537,5.64398521,39.9403109,336.700366,8.78906307,K5V,,,
HIP 26757,5.68425237,41.3611543,303.030302,8.60937541,K2V,,,
HIP 27553/HD 38777,5.83427975,39.5762966,332.225928,8.60937509,A0V,,,
HIP 28059,5.93298964,39.814444,331.125829,9.73828226,F2V,,,
HIP 22789/HD 31070,4.90295614,32.2110699,286.53296,9.02734406,F0V,,,
HIP 23557/HD 32344,5.06512304,32.3814363,318.471315,8.36718769,A0V,,,
HIP 24821/HD 34477,5.32093541,34.8905565,313.479615,7.03906238,B8V,,,
HIP 25084/HD 34875,5.36998257,36.1993844,309.597521,7.67968778,K0V,,,
HIP 26354,5.6117508,34.2016608,279.329613,9.0273443,B2V,,,
HIP 27144/HD 38152,5.75470988,35.6949576,294.985237,8.2968752,K5V,,,
HIP 27164/HD 38200,5.75821969,31.3248688,307.692321,6.50000072,K0V,,,
HIP 28065/HD 39725,5.93365444,35.1692437,291.545191,8.38671878,K0V,,,
HIP 17131/HD 22583,3.66912747,48.9577119,381.679422,8.13671898,A0V,,,
HIP 17228,3.68982451,46.5021404,383.141796,10.1093747,F8V,,,
HIP 18062/HD 24011,3.86065609,47.0990019,374.531844,8.02734408,A2V,,,
HIP 18415/HD 24532,3.93682908,46.9522943,377.358457,8.95703153,B9V,,,
HIP 19322/HD 25889,4.14108394,50.9425823,377.358465,7.69921919,B8V,,,
HIP 20064/HD 26975,4.30275142,48.0870087,364.963503,8.5898439,A0V,,,
HIP 20234/HD 27192,4.3365313,50.9209544,364.963501,5.54687527,B1IV,,,
HIP 20296/HD 27292,4.34930651,50.2548363,363.636372,7.12890628,K5III,,,
HIP 21265,4.56281869,52.5043687,375.93983,9.46875018,A0V,,,
HIP 16165/HD 21346,3.4717312,44.3772563,337.837837,6.51953136,K0V,,,
HIP 18103/HD 24066,3.86890825,48.2527228,344.827571,9.20703176,F5V,,,
HIP 18846/HD 25194,4.04098225,48.3953073,349.650354,9.36718798,F2V,,,
HIP 18662/HD 24909,3.99573991,48.1512836,334.44815,7.72656301,B8V,,,
HIP 18663,3.99581287,48.1404438,334.448147,9.29687569,A9V,,,
HIP 19244/HD 25776,4.12392155,48.9280254,342.465721,9.0468752,A5V,,,
HIP 15790/HD 20834,3.39169705,52.1484998,377.358481,8.72656294,B9V,,,
HIP 16524/HD 21726,3.54590351,54.2549557,355.871892,8.69921923,A0V,,,
HIP 16941/HD 22298,3.63362189,55.1708656,359.71226,7.6562505,B2V,,,
HIP 18372/HD 232858,3.92743288,52.2604676,348.432052,8.59765712,A5V,,,
HIP 19021/HD 25337,4.07482302,55.7406537,323.624606,8.50781278,K0III,,,
HIP 19135/HD 25551,4.10120438,53.5951881,346.020746,8.34765601,A0V,,,
HIP 19447/HD 237222,4.16478246,58.4600092,335.570471,9.45703119,A0V,,,
HIP 19503/HD 26113,4.17832954,53.15213,330.032998,8.23828205,G5V,,,
HIP 19969/HD 237237,4.28175948,57.2412013,342.465706,8.17968765,M0V,,,
