Path,Shader,RenderQueue,KeywordCount,Keywords,Flags
"Assets/_Project/Art/Materials/Tools/Mat_Tool_Flashlight_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_HarpoonLauncher_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_Knife_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_LaserCutter_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_Propulsion_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_Repair_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_SalvageSampler_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_Scanner_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_StunPistol_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/VFX/MAT_AbyssalFluidDecal.mat","HECTON/World/AbyssalFluidDecal",2490,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/VFX/Mat_LeakPlume.mat","HECTON/VFX/LeakPlume",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/VFX/MAT_LightningBolt.mat","Universal Render Pipeline/Particles/Unlit",2000,1,"_FLIPBOOKBLENDING_OFF",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_cave_entrance.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat","GPUInstancer/Hecton8/Flora/CoralMaster",2000,4,"_QUALITY_MX350|_ENVIRONMENTREFLECTIONS_OFF|_RECEIVE_SHADOWS_OFF|_SPECULARHIGHLIGHTS_OFF",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat","GPUInstancer/Hecton8/Flora/CoralMaster",2000,1,"_QUALITY_MX350",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat","GPUInstancer/Hecton8/Flora/CoralMaster",2000,4,"_QUALITY_MX350|_ENVIRONMENTREFLECTIONS_OFF|_RECEIVE_SHADOWS_OFF|_SPECULARHIGHLIGHTS_OFF",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat","GPUInstancer/Hecton8/Flora/CoralMaster",2000,4,"_QUALITY_MX350|_ENVIRONMENTREFLECTIONS_OFF|_RECEIVE_SHADOWS_OFF|_SPECULARHIGHLIGHTS_OFF",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat","GPUInstancer/Hecton8/Flora/CoralMaster",2000,4,"_QUALITY_MX350|_ENVIRONMENTREFLECTIONS_OFF|_RECEIVE_SHADOWS_OFF|_SPECULARHIGHLIGHTS_OFF",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_creature_spawn_passive.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_creature_spawn_predator.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_creature_zone_abyss_apex.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_creature_zone_large_threat.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_creature_zone_reef_apex.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_creature_zone_ruin_apex.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_debris_field.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_debris_scatter.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_egg_cluster.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_kelp_abyssal.mat","GPUInstancer/Hecton8/Flora/KelpMaster",2000,1,"_QUALITY_MX350",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_kelp_canopy.mat","GPUInstancer/Hecton8/Flora/KelpMaster",2000,1,"_QUALITY_MX350",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_kelp_patch_dense.mat","GPUInstancer/Hecton8/Flora/KelpMaster",2000,1,"_QUALITY_MX350",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_kelp_tall.mat","GPUInstancer/Hecton8/Flora/KelpMaster",2000,1,"_QUALITY_MX350",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_landmark_spire.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_plant_giant.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_pocket_hazard.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_pocket_resource.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_pocket_safe.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_rock_arch_large.mat","Universal Render Pipeline/Lit",2000,2,"_NORMALMAP|_OCCLUSIONMAP",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_rock_cluster_medium.mat","Universal Render Pipeline/Lit",2000,2,"_NORMALMAP|_OCCLUSIONMAP",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_rock_shelf_large.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_rock_small_floor.mat","Universal Render Pipeline/Lit",2000,2,"_NORMALMAP|_OCCLUSIONMAP",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_route_power.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_ruin_cluster_medium.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_ruin_megastructure.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_ruin_module_single.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_service_scar.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_sargassum_leaf_scraps.mat","Universal Render Pipeline/Particles/Unlit",2450,2,"_ALPHATEST_ON|_FLIPBOOKBLENDING_OFF","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_sargassum_type2.mat","Hecton8/Flora/SargassumMaster",2450,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/WorldSupport/Mat_Support_AbyssApex.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldSupport/Mat_Support_CreaturePassive.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldSupport/Mat_Support_CreaturePredator.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldSupport/Mat_Support_HazardPocket.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldSupport/Mat_Support_ReefApex.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldSupport/Mat_Support_ResourcePocket.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldSupport/Mat_Support_RuinApex.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/WorldSupport/Mat_Support_SafePocket.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Models/Rocks/Rock 5/orig/River_Rock_FBX.fbx","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid.fbx","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Models/Rocks/Rock 6/rock6/rock_6.mat","Universal Render Pipeline/Lit",2000,2,"_NORMALMAP|_OCCLUSIONMAP",""
"Assets/_Project/Art/Models/Rocks/Rock 7/Materials/2.mat","Universal Render Pipeline/Lit",2000,1,"_NORMALMAP",""
"Assets/_Project/Art/Models/Rocks/Rock 7/SAMMPLE.fbx","Universal Render Pipeline/Lit",2000,1,"_NORMALMAP",""
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Forest_Rock_Shelf_wgpqfjl_Mid.fbx","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat","Hidden/InternalErrorShader",2000,0,"",""
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock_Shared.mat","Hidden/InternalErrorShader",2000,0,"",""
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Mossy_Forest_Rock_vimrfjsaw_Mid.fbx","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Nordic_Beach_Rock_uknoehp_Mid.fbx","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock_4.fbx","Universal Render Pipeline/Lit",2000,1,"_NORMALMAP",""
"Assets/_Project/Art/Skyboxes/Mat_Skybox_Day.mat","Skybox/Cubemap",1000,0,"",""
"Assets/_Project/Art/Skyboxes/Mat_Skybox_Night.mat","Skybox/Cubemap",1000,0,"",""
"Assets/_Project/Art/Skyboxes/Mat_Skybox_Storm.mat","Skybox/Cubemap",1000,0,"",""
"Assets/_Project/Data/AI/GeneratedProxies/Materials/Mat_DroneProxy.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Data/AI/GeneratedProxies/Materials/Mat_HeavyHunterProxy.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Data/AI/GeneratedProxies/Materials/Mat_HunterProxy.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Data/AI/GeneratedProxies/Materials/Mat_LeviathanProxy.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Data/AI/GeneratedProxies/Materials/Mat_SmallPassiveProxy.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Data/AI/GeneratedProxies/Materials/Mat_TerritorialProxy.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Data/Flora/GeneratedProxies/Materials/MAT_FloraProxy_Coral.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Data/Flora/GeneratedProxies/Materials/MAT_FloraProxy_Kelp.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Data/Flora/GeneratedProxies/Materials/MAT_FloraProxy_MicroGrass.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Data/Flora/GeneratedProxies/Materials/MAT_FloraProxy_Sargassum.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Data/LiberationSans SDF - Fallback.asset","TextMeshPro/Mobile/Distance Field",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Data/LiberationSans SDF.asset","TextMeshPro/Mobile/Distance Field",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Construction/MAT_family_pocket_hazard_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Construction/MAT_family_pocket_safe_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Construction/MAT_family_route_power_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Construction/MAT_family_ruin_cluster_medium_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Construction/MAT_family_ruin_megastructure_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Construction/MAT_family_ruin_module_single_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Construction/MAT_family_service_scar_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Debris/MAT_family_debris_field_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Debris/MAT_family_debris_scatter_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Fauna/MAT_family_creature_spawn_passive_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Fauna/MAT_family_creature_spawn_predator_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Fauna/MAT_family_egg_cluster_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Flora/MAT_family_coral_branching_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/Flora/MAT_family_coral_low_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
