"Path","AssetKind","AnimationCompression","RotationError","PositionError","ScaleError","Flags"
"Assets/ScifiFacility/Models/structural/floor/floor/floor_02a.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_05.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_06.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_border_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_border_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_border_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_border_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_border_05.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_border_06.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_border_corner_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_border_corner_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_crosssection_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_large_8x8.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_part_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_part_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_part_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_small_4x4.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/duct_01 1.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/duct_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/duct_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/duct_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_01_4x4.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_02a.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_06.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_border_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_border_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_border_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_border_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_border_05.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_border_06.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_border_corner_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_border_corner_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_crosssection_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_part_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_part_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_part_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor_small_4x4.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/rail_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/rail_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/scaffold_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/scaffold_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/scaffold_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
